 Epoch: 0003;precision@5= 0.3535,precision@10= 0.3018,recall@5= 0.1153,recall@10= 0.1909,map= 0.2347,mrr= 0.5966
 Epoch: 0004;precision@5= 0.3588,precision@10= 0.3029,recall@5= 0.1211,recall@10= 0.1940,map= 0.2397,mrr= 0.6059
 Epoch: 0005;precision@5= 0.3545,precision@10= 0.3081,recall@5= 0.1208,recall@10= 0.1973,map= 0.2440,mrr= 0.6102
 Epoch: 0000;precision@5= 0.1963,precision@10= 0.1783,recall@5= 0.0337,recall@10= 0.0608,map= 0.0944,mrr= 0.3616
 Epoch: 0000;precision@5= 0.0300,precision@10= 0.0239,recall@5= 0.0044,recall@10= 0.0069,map= 0.0163,mrr= 0.1202
 Epoch: 0001;precision@5= 0.0300,precision@10= 0.0239,recall@5= 0.0044,recall@10= 0.0069,map= 0.0163,mrr= 0.1202
 Epoch: 0000;precision@5= 0.0308,precision@10= 0.0245,recall@5= 0.0048,recall@10= 0.0071,map= 0.0168,mrr= 0.1238
 Epoch: 0000;precision@5= 0.0308,precision@10= 0.0249,recall@5= 0.0044,recall@10= 0.0070,map= 0.0164,mrr= 0.1227
 Epoch: 0000;precision@5= 0.2116,precision@10= 0.1835,recall@5= 0.0396,recall@10= 0.0666,map= 0.1019,mrr= 0.3954
 Epoch: 0000;precision@5= 0.3479,precision@10= 0.2923,recall@5= 0.1147,recall@10= 0.1843,map= 0.2257,mrr= 0.5812
 Epoch: 0001;precision@5= 0.3592,precision@10= 0.3048,recall@5= 0.1224,recall@10= 0.1968,map= 0.2385,mrr= 0.5885
 Epoch: 0002;precision@5= 0.3694,precision@10= 0.3101,recall@5= 0.1264,recall@10= 0.2016,map= 0.2476,mrr= 0.6138
 Epoch: 0003;precision@5= 0.3690,precision@10= 0.3163,recall@5= 0.1268,recall@10= 0.2047,map= 0.2481,mrr= 0.6108
 Epoch: 0000;precision@5= 0.3031,precision@10= 0.2663,recall@5= 0.0947,recall@10= 0.1591,map= 0.1968,mrr= 0.5188
 Epoch: 0001;precision@5= 0.3186,precision@10= 0.2749,recall@5= 0.0999,recall@10= 0.1642,map= 0.2076,mrr= 0.5552
 Epoch: 0002;precision@5= 0.3290,precision@10= 0.2785,recall@5= 0.1061,recall@10= 0.1664,map= 0.2077,mrr= 0.5464
 Epoch: 0003;precision@5= 0.3186,precision@10= 0.2770,recall@5= 0.1009,recall@10= 0.1659,map= 0.2091,mrr= 0.5581
